***
TEST CASE 1
MIN SUPPORT : 50
MIN CONFIDENCE : 30
Number of rules:  683
('maint', 'vhigh')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'high')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'med')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'low')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('maint', 'vhigh')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.8333333333333334
('maint', 'vhigh')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.8333333333333334
('maint', 'high')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.7268518518518519
('maint', 'high')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.7268518518518519
('maint', 'med')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6203703703703703
('maint', 'med')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6203703703703703
('maint', 'low')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6203703703703703
('maint', 'low')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6203703703703703
('buying', 'vhigh')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
